player,Nation,Position,Team,Age,Weekly,Annual,expected_salary,salary_pct_diff
Harry Maguire,ENG,DF,Manchester Utd,31,232038,12065972,8017965.461136131,50.48670461958158
Son Heung-min,KOR,FW,Tottenham,32,232038,12065972,8827221.607438575,36.69048469149313
Gabriel Martinelli,BRA,"FW,MF",Arsenal,23,219825,11430921,8497005.728964264,34.52881361530357
Trent Alexander-Arnold,ENG,DF,Liverpool,25,219825,11430921,6958326.587067497,64.27686825227649
Manuel Akanji,SUI,DF,Manchester City,29,219825,11430921,12524355.721775765,-8.730466828522275
Rúben Dias,POR,DF,Manchester City,27,219825,11430921,,
Enzo Fernández,ARG,MF,Chelsea,23,219825,11430921,,
Kyle Walker,ENG,DF,Manchester City,34,213719,11113395,,
Marc Cucurella,ESP,DF,Chelsea,26,213719,11113395,9359361.721090317,18.740949769653188
James Maddison,ENG,MF,Tottenham,27,207613,10795869,7091550.042240375,52.23567394568297
Cristian Romero,ARG,DF,Tottenham,26,201507,10478344,6758803.428909316,55.03253068703191
Timo Werner,GER,"FW,MF",Tottenham,28,201507,10478344,,
Andrew Robertson,SCO,DF,Liverpool,30,195400,10160818,8875323.428460432,14.48391804424145
Bruno Guimarães,BRA,MF,Newcastle Utd,26,195400,10160818,,
Nathan Aké,NED,DF,Manchester City,29,195400,10160818,,
Pedro Neto,POR,FW,Chelsea,24,195400,10160818,5326369.687163964,90.76441547958247
Kalvin Phillips,ENG,MF,Ipswich Town,28,201368,10471131,2611704.015754115,300.93099895075665
Ben White,ENG,DF,Arsenal,26,183188,9525767,7381078.139639121,29.056579808349504
Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,27,183188,9525767,,
Christian Eriksen,DEN,MF,Manchester Utd,32,183188,9525767,10946863.197656471,-12.981766301425074
Jadon Sancho,ENG,LW,Manchester Utd,24,183188,9525767,5760743.116570908,65.35656611034985
Luke Shaw,ENG,DF,Manchester Utd,29,183188,9525767,,
Jarrod Bowen,ENG,"FW,MF",West Ham,27,183188,9525767,9129274.406382924,4.343089888281369
Lucas Paquetá,BRA,"MF,FW",West Ham,26,183188,9525767,,
Alexis Mac Allister,ARG,MF,Liverpool,25,183188,9525767,9420239.28423861,1.1202233040720404
Alisson,BRA,GK,Liverpool,31,183188,9525767,8627739.253983125,10.40861017678864
Federico Chiesa,ITA,FW,Liverpool,26,183188,9525767,,
Ryan Gravenberch,NED,MF,Liverpool,22,183188,9525767,6675902.971018755,42.68881739823056
Boubacar Kamara,FRA,MF,Aston Villa,24,183188,9525767,6997280.628852292,36.13527176145907
Emiliano Martínez,ARG,GK,Aston Villa,31,183188,9525767,,
Youri Tielemans,BEL,MF,Aston Villa,27,183188,9525767,11692555.303381242,-18.531349625129867
Anthony Gordon,ENG,"FW,MF",Newcastle Utd,23,183188,9525767,5078071.75428536,87.58630166974801
Joelinton,BRA,"MF,FW",Newcastle Utd,27,183188,9525767,6713474.6190025145,41.89026607827311
Lloyd Kelly,ENG,DF,Newcastle Utd,25,183188,9525767,,
Mateo Kovačić,CRO,MF,Manchester City,30,183188,9525767,,
Moisés Caicedo,ECU,"MF,DF",Chelsea,22,183188,9525767,,
Donyell Malen,NED,FW,Aston Villa,25,187943,9773056,,
Darwin Núñez,URU,FW,Liverpool,25,170975,8890716,,
Diogo Jota,POR,FW,Liverpool,27,170975,8890716,9730035.606033903,-8.626069215136429
Amadou Onana,BEL,MF,Aston Villa,22,170975,8890716,5727812.138894691,55.22010471725528
Jamie Vardy,ENG,FW,Leicester City,37,170975,8890716,6668410.630988212,33.32586266785518
Noussair Mazraoui,MAR,DF,Manchester Utd,26,164869,8573190,6274499.402230307,36.63544213507471
Mikel Merino,ESP,"MF,FW",Arsenal,28,158763,8255665,10266965.08157019,-19.590015799124437
Ollie Watkins,ENG,FW,Aston Villa,28,158763,8255665,8469223.18694734,-2.5215793967559312
Matheus Nunes,POR,"DF,MF",Manchester City,25,158763,8255665,6161718.742493711,33.98315218553529
Cole Palmer,ENG,MF,Chelsea,22,158763,8255665,11507984.338798104,-28.261416100760673
João Félix,POR,"FW,MF",Chelsea,24,158763,8255665,,
Abdoulaye Doucouré,MLI,MF,Everton,31,158763,8255665,,
Bernd Leno,GER,GK,Fulham,32,158763,8255665,5155726.6582665555,60.12611891988273
Danny Ings,ENG,"FW,MF",West Ham,32,152657,7938139,,
Jordan Pickford,ENG,GK,Everton,30,152657,7938139,5030771.824634841,57.79167246521244
Riccardo Calafiori,ITA,DF,Arsenal,22,146550,7620614,,
André Onana,CMR,GK,Manchester Utd,28,146550,7620614,,
Lisandro Martínez,ARG,DF,Manchester Utd,26,146550,7620614,,
Manuel Ugarte,,DM,Manchester Utd,23,146550,7620614,,
Victor Lindelöf,SWE,DF,Manchester Utd,30,146550,7620614,,
Aaron Ramsdale,ENG,GK,Southampton,26,146550,7620614,2622300.694762451,190.60793886912865
Alphonse Areola,FRA,GK,West Ham,31,146550,7620614,6542153.961424094,16.48478536174876
Cody Gakpo,NED,FW,Liverpool,25,146550,7620614,5760743.116570908,32.2852598318285
Dominik Szoboszlai,HUN,MF,Liverpool,23,146550,7620614,7504751.437796486,1.5438560912222958
John McGinn,SCO,"MF,FW",Aston Villa,29,146550,7620614,8798473.05184009,-13.387084837337259
Leon Bailey,JAM,"FW,MF",Aston Villa,26,146550,7620614,7194929.628232625,5.916449413167373
Lucas Digne,FRA,DF,Aston Villa,31,146550,7620614,7826286.533262244,-2.6279709078900035
Alexander Isak,SWE,FW,Newcastle Utd,24,146550,7620614,6381843.746063897,19.41085214911652
Kieran Trippier,ENG,DF,Newcastle Utd,33,146550,7620614,6520090.143067924,16.878966897446016
Sandro Tonali,ITA,MF,Newcastle Utd,24,146550,7620614,5351130.398033,42.411293187720304
Tosin Adarabioyo,ENG,DF,Chelsea,26,146550,7620614,7307739.082934006,4.281418828932472
Idrissa Gana Gueye,SEN,MF,Everton,34,146550,7620614,8322416.488758655,-8.43267685180863
Marco Asensio,ESP,MF,Aston Villa,28,156396,8132578,,
James Ward-Prowse,ENG,MF,West Ham,29,154382,8027867,,
Leny Yoro,,CB,Manchester Utd,19,140444,7303088,3335326.2850458203,118.96172595598608
Raheem Sterling,ENG,"FW,MF",Arsenal,29,147670,7678829,,
Jorginho,ITA,MF,Arsenal,32,134338,6985563,,
Kieran Tierney,SCO,"DF,FW",Arsenal,27,134338,6985563,,
Dejan Kulusevski,SWE,"MF,FW",Tottenham,24,134338,6985563,5995817.706509171,16.50726126006705
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23,128231,6668037,7672492.62957695,-13.091646718627539
Daichi Kamada,JPN,MF,Crystal Palace,27,128231,6668037,4280720.253169033,55.76904365716558
Nikola Milenković,SRB,DF,Nott'ham Forest,26,128231,6668037,,
Ben Chilwell,ENG,DF,Crystal Palace,27,134245,6980754,,
David Raya,ESP,GK,Arsenal,28,122125,6350511,9359361.721090317,-32.14803328212216
Gabriel Magalhães,BRA,DF,Arsenal,26,122125,6350511,,
Takehiro Tomiyasu,JPN,DF,Arsenal,25,122125,6350511,,
Dean Henderson,ENG,GK,Crystal Palace,27,122125,6350511,4158392.50025867,52.715526483009256
Eberechi Eze,ENG,"MF,FW",Crystal Palace,26,122125,6350511,5419723.190321737,17.174083933666864
Edson Álvarez,MEX,MF,West Ham,26,122125,6350511,,
Max Kilman,ENG,DF,West Ham,27,122125,6350511,5584810.946078217,13.710402398839939
Diego Carlos,BRA,DF,Aston Villa,31,122125,6350511,,
Ian Maatsen,NED,DF,Aston Villa,22,122125,6350511,2810996.200847537,125.91674076561443
Pau Torres,ESP,DF,Aston Villa,27,122125,6350511,6789170.526928058,-6.46116525116274
Tyrone Mings,ENG,DF,Aston Villa,31,122125,6350511,9359361.721090317,-32.14803328212216
Matt Targett,ENG,DF,Newcastle Utd,28,122125,6350511,,
Ederson,BRA,GK,Manchester City,30,122125,6350511,8846434.155787347,-28.213889481724237
Carney Chukwuemeka,ENG,CM,Chelsea,20,122125,6350511,,
Levi Colwill,ENG,DF,Chelsea,21,122125,6350511,8097574.2540600225,-21.575143360791866
Mykhailo Mudryk,UKR,FW,Chelsea,23,122125,6350511,,
Nicolas Jackson,SEN,FW,Chelsea,23,122125,6350511,6927300.01206838,-8.32631777263188
Dominic Calvert-Lewin,ENG,FW,Everton,27,122125,6350511,5137718.694555804,23.60565802735237
James Tarkowski,ENG,DF,Everton,31,122125,6350511,5228288.416191942,21.464435288851867
Raúl Jiménez,MEX,FW,Fulham,33,122125,6350511,,
Reiss Nelson,ENG,FW,Fulham,24,122125,6350511,,
Emerson Palmieri,ITA,DF,West Ham,29,116019,6032986,5024885.273785075,20.062164035350353
Jurriën Timber,NED,DF,Arsenal,23,109913,5715460,,
Leandro Trossard,BEL,FW,Arsenal,29,109913,5715460,8618341.754237676,-33.6826020250394
Dominic Solanke,ENG,FW,Tottenham,26,109913,5715460,7275350.277710981,-21.440758426297567
Richarlison,BRA,FW,Tottenham,27,109913,5715460,,
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,25,109913,5715460,6345887.442530472,-9.934425220108915
Aaron Wan-Bissaka,ENG,DF,West Ham,26,109913,5715460,4676461.85051485,22.217612004485048
Mohammed Kudus,,AM,West Ham,24,109913,5715460,5149718.140775787,10.985880076515928
Niclas Füllkrug,GER,FW,West Ham,31,109913,5715460,,
Tomáš Souček,CZE,MF,West Ham,29,109913,5715460,,
Gonçalo Guedes,POR,"MF,FW",Wolves,27,109913,5715460,,
Pablo Sarabia,ESP,"MF,FW",Wolves,32,109913,5715460,,
Harry Winks,ENG,MF,Leicester City,28,109913,5715460,4249869.00571572,34.48555690335823
Odsonne Édouard,FRA,FW,Leicester City,26,109913,5715460,,
Sven Botman,NED,DF,Newcastle Utd,24,109913,5715460,,
Stefan Ortega,GER,GK,Manchester City,31,109913,5715460,9011264.785067866,-36.57427523968872
Benoît Badiashile,FRA,DF,Chelsea,23,109913,5715460,,
Jack Harrison,ENG,FW,Everton,27,109913,5715460,3420832.9342559204,67.07802192752197
Joachim Andersen,DEN,DF,Fulham,28,109913,5715460,3780060.125592061,51.20024047513802
Leander Dendoncker,BEL,DM,Aston Villa,29,117817,6126483,,
Willian,BRA,"FW,MF",Fulham,35,117817,6126483,,
Ferdi Kadioglu,TUR,"DF,MF",Brighton,24,106860,5556698,,
Diogo Dalot,POR,DF,Manchester Utd,25,103806,5397935,6728554.720986012,-19.77571374779606
Rasmus Højlund,DEN,FW,Manchester Utd,21,103806,5397935,,
Pedro Porro,ESP,DF,Tottenham,24,103806,5397935,4862374.272576266,11.01438715740767
Radu Drăgușin,ROU,DF,Tottenham,22,103806,5397935,,
Evanilson,BRA,FW,Bournemouth,24,103806,5397935,3561165.2355734603,51.57777420936668
Michail Antonio,JAM,FW,West Ham,34,103806,5397935,,
Joe Gomez,ENG,DF,Liverpool,27,103806,5397935,,
Mathys Tel,FRA,FW,Tottenham,19,107396,5584603,,
Ben Davies,WAL,DF,Tottenham,31,97700,5080409,7834910.163776627,-35.15676767439649
Justin Kluivert,NED,"MF,FW",Bournemouth,25,97700,5080409,4138281.833772044,22.766143150023375
Carlos Soler,ESP,"MF,FW",West Ham,27,97700,5080409,5476395.220868929,-7.230782383271796
Matty Cash,POL,DF,Aston Villa,26,97700,5080409,4432409.709077657,14.619571146485603
Nélson Semedo,POR,DF,Wolves,30,97700,5080409,,
Boubakary Soumaré,FRA,MF,Leicester City,25,97700,5080409,,
Ricardo Pereira,POR,DF,Leicester City,30,97700,5080409,,
Harvey Barnes,ENG,FW,Newcastle Utd,26,97700,5080409,4029066.472806668,26.093948419296296
Joe Willock,ENG,"MF,FW",Newcastle Utd,24,97700,5080409,3637519.7537814667,39.66684290081298
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,25,97700,5080409,,
Kaoru Mitoma,JPN,"FW,MF",Brighton,27,97700,5080409,4555807.349639592,11.515009527387276
Lewis Dunk,ENG,DF,Brighton,32,97700,5080409,5107822.41335886,-0.5366947231204237
Michael Keane,ENG,DF,Everton,31,97700,5080409,,
Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,23,97700,5080409,2912817.9294962278,74.41560450977649
Chris Wood,NZL,FW,Nott'ham Forest,32,97700,5080409,8159977.753262899,-37.7399160436618
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24,97700,5080409,3412206.921513906,48.88924138709492
Alex Iwobi,NGA,"FW,MF",Fulham,28,97700,5080409,6683402.631361398,-23.984693423069594
Ben Godfrey,ENG,DF,Ipswich Town,26,100684,5235566,,
Tyrell Malacia,NED,DF,Manchester Utd,24,91594,4762884,,
Archie Gray,,CM,Tottenham,18,91594,4762884,2110444.447050267,125.6815623200603
Destiny Udogie,ITA,DF,Tottenham,21,91594,4762884,3879100.7849158132,22.783198067986437
Fraser Forster,ENG,GK,Tottenham,36,91594,4762884,,
Guglielmo Vicario,ITA,GK,Tottenham,27,91594,4762884,5060290.962242632,-5.877269992214582
Rodrigo Bentancur,URU,MF,Tottenham,27,91594,4762884,7202936.398116983,-33.87580096854486
Kepa Arrizabalaga,ESP,GK,Bournemouth,29,91594,4762884,3696769.81955058,28.839073907474937
Guido Rodríguez,ARG,MF,West Ham,30,91594,4762884,,
Kostas Tsimikas,GRE,DF,Liverpool,28,91594,4762884,,
Emi Buendía,ARG,"MF,FW",Aston Villa,27,91594,4762884,,
Ezri Konsa,ENG,DF,Aston Villa,26,91594,4762884,6873294.284837454,-30.70449477906158
Jáder Durán,COL,FW,Aston Villa,20,91594,4762884,,
Morgan Rogers,ENG,"FW,MF",Aston Villa,22,91594,4762884,5234373.6999447225,-9.00756665405265
Conor Coady,ENG,DF,Leicester City,31,91594,4762884,3218388.2550031263,47.98972723678962
Patson Daka,ZAM,"FW,MF",Leicester City,25,91594,4762884,,
Wilfred Ndidi,NGA,MF,Leicester City,27,91594,4762884,3855335.119476721,23.540077643015863
Georginio Rutter,FRA,"MF,FW",Brighton,22,91594,4762884,1899253.0214414063,150.77669727150354
Ibrahim Sangaré,CIV,MF,Nott'ham Forest,26,91594,4762884,,
Jan Bednarek,POL,DF,Southampton,28,85488,4445358,3293195.167468473,34.986169174334464
Joe Aribo,NGA,"MF,DF",Southampton,28,85488,4445358,2262902.6657989603,96.44494954141045
Brennan Johnson,WAL,FW,Tottenham,23,85488,4445358,5369764.508102506,-17.215028828688077
Pape Matar Sarr,SEN,MF,Tottenham,21,85488,4445358,4358643.890137287,1.9894745257562474
Cheick Doucouré,MLI,MF,Crystal Palace,24,85488,4445358,,
Ismaila Sarr,SEN,MF,Crystal Palace,26,85488,4445358,5438558.550493413,-18.262202038871212
Jefferson Lerma,COL,"MF,DF",Crystal Palace,29,85488,4445358,3446812.289294302,28.970121576018272
Ryan Christie,SCO,MF,Bournemouth,29,85488,4445358,4782770.033884747,-7.05474090316419
Ibrahima Konaté,FRA,DF,Liverpool,25,85488,4445358,,
Jacob Ramsey,ENG,"FW,MF",Aston Villa,23,85488,4445358,4648812.310330277,-4.376479340286018
Hwang Hee-chan,KOR,"MF,FW",Wolves,28,85488,4445358,,
Aaron Hickey,SCO,RB,Brentford,22,85488,4445358,,
Issa Diop,FRA,DF,Fulham,27,85488,4445358,2672164.4257129654,66.35795152515456
Mason Holgate,ENG,"FW,DF",Everton,27,91635,4765042,,
Jonny Evans,NIR,DF,Manchester Utd,36,79381,4127832,,
Maxwel Cornet,CIV,FW,Southampton,27,79381,4127832,,
Luis Sinisterra,COL,"FW,MF",Bournemouth,25,79381,4127832,,
Łukasz Fabiański,POL,GK,West Ham,39,79381,4127832,,
Adama Traoré,ESP,"FW,MF",Fulham,28,79381,4127832,,
Timothy Castagne,BEL,DF,Fulham,28,79381,4127832,3459859.161971143,19.306359211694062
Nathaniel Phillips,ENG,CB,Liverpool,27,85090,4424682,,
Saša Lukić,SRB,MF,Fulham,27,76939,4000822,,
Giorgi Mamardashvili,GEO,,Liverpool,24,80547,4188452,,
Nicolás González,ESP,MF,Manchester City,22,80547,4188452,,
Adam Armstrong,ENG,"FW,MF",Southampton,27,73275,3810307,4322137.455434696,-11.842067974749753
Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,31,73275,3810307,,
Lewis Cook,ENG,"MF,DF",Bournemouth,27,73275,3810307,2803560.1130611035,35.90958803589435
Tyler Adams,USA,MF,Bournemouth,25,73275,3810307,3614930.8080322235,5.404700735451386
Matheus Cunha,BRA,"MF,FW",Wolves,25,73275,3810307,3738231.962823047,1.9280514931588986
Jannik Vestergaard,DEN,DF,Leicester City,31,73275,3810307,3072662.1437306614,24.006702389144866
Miguel Almirón,PAR,FW,Newcastle Utd,30,73275,3810307,,
Nick Pope,ENG,GK,Newcastle Utd,32,73275,3810307,5533567.540751211,-31.141944650724724
Robert Sánchez,ESP,GK,Chelsea,26,73275,3810307,,
Danny Welbeck,ENG,FW,Brighton,33,73275,3810307,4643298.584745483,-17.939651511580372
James Milner,ENG,MF,Brighton,38,73275,3810307,,
Mats Wieffer,NED,"MF,DF",Brighton,24,73275,3810307,,
Emile Smith Rowe,ENG,MF,Fulham,24,73275,3810307,3678458.849340249,3.5843312664323745
Manor Solomon,ISR,LW,Tottenham,25,78545,4084322,,
Jakub Kiwior,POL,DF,Arsenal,24,70833,3683297,5072139.034645068,-27.381781634111984
Vitaliy Mykolenko,UKR,DF,Everton,25,70833,3683297,3570082.4668231206,3.1712021845149283
Yves Bissouma,MLI,MF,Tottenham,27,67169,3492781,5565547.739126055,-37.242816633382006
Chris Richards,USA,DF,Crystal Palace,24,67169,3492781,2469951.528051628,41.410912737838665
Luis Díaz,COL,FW,Liverpool,27,67169,3492781,,
Boubacar Traoré,MLI,MF,Wolves,22,67169,3492781,,
Dan Burn,ENG,DF,Newcastle Utd,32,67169,3492781,6743664.305075443,-48.20648178807997
Emil Krafth,SWE,DF,Newcastle Utd,29,67169,3492781,,
Ben Mee,ENG,DF,Brentford,34,67169,3492781,,
Adam Webster,ENG,DF,Brighton,29,67169,3492781,,
Séamus Coleman,IRL,DF,Everton,35,67169,3492781,,
Sander Berge,NOR,MF,Fulham,26,67169,3492781,4038898.466692391,-13.521445790134647
Sergio Reguilón,ESP,DF,Tottenham,27,64726,3365771,,
Marshall Munetsi,ZIM,"MF,FW",Wolves,28,67123,3490377,,
Jesper Lindstrøm,DEN,FW,Everton,24,67123,3490377,,
Neto,BRA,GK,Arsenal,35,61063,3175256,,
Alejandro Garnacho,,LW,Manchester Utd,20,61063,3175256,5681978.073490213,-44.117066997944846
Djed Spence,ENG,DF,Tottenham,23,61063,3175256,2997791.9151996295,5.91982665309687
Micky van de Ven,NED,DF,Tottenham,23,61063,3175256,,
Jean-Philippe Mateta,FRA,FW,Crystal Palace,27,61063,3175256,4698678.894031116,-32.42236655001833
Marc Guéhi,ENG,DF,Crystal Palace,24,61063,3175256,,
Maxence Lacroix,FRA,DF,Crystal Palace,24,61063,3175256,3472944.313953601,-8.57164086269821
Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33,61063,3175256,,
Trevoh Chalobah,ENG,DF,Crystal Palace,25,61063,3175256,2259717.79278128,40.51559934357413
Will Hughes,ENG,MF,Crystal Palace,29,61063,3175256,4588456.466628997,-30.799038345616758
Antoine Semenyo,GHA,FW,Bournemouth,24,61063,3175256,2711824.1391682317,17.089303621801665
David Brooks,WAL,"FW,MF",Bournemouth,27,61063,3175256,,
Ilya Zabarnyi,,CB,Bournemouth,22,61063,3175256,,
Marcos Senesi,ARG,DF,Bournemouth,27,61063,3175256,3538948.2058830336,-10.276844551679039
Aaron Cresswell,ENG,DF,West Ham,34,61063,3175256,,
Konstantinos Mavropanos,GRE,DF,West Ham,26,61063,3175256,3429475.811142603,-7.412789159107791
Wataru Endo,JPN,"MF,DF",Liverpool,31,61063,3175256,,
Robin Olsen,SWE,GK,Aston Villa,34,61063,3175256,,
Matt Doherty,IRL,DF,Wolves,32,61063,3175256,3728986.6351000234,-14.849359605848258
Hamza Choudhury,BAN,"MF,DF",Leicester City,26,61063,3175256,,
Oliver Skipp,ENG,MF,Leicester City,23,61063,3175256,1731587.1462001784,83.37257855995472
Wout Faes,BEL,DF,Leicester City,26,61063,3175256,2751912.1811755477,15.383623856907032
Odisseas Vlachodimos,GRE,GK,Newcastle Utd,30,61063,3175256,,
Sean Longstaff,ENG,MF,Newcastle Utd,26,61063,3175256,,
Valentino Livramento,ENG,DF,Newcastle Utd,21,61063,3175256,2497166.695187799,27.154346809082565
Jeremy Doku,BEL,"FW,MF",Manchester City,22,61063,3175256,3459859.161971143,-8.225859743059583
Oscar Bobb,,RW,Manchester City,21,61063,3175256,,
Igor Thiago,,CF,Brentford,23,61063,3175256,,
Mathias Jensen,DEN,MF,Brentford,28,61063,3175256,,
Filip Jørgensen,DEN,GK,Chelsea,22,61063,3175256,,
Marc Guiu,,CF,Chelsea,18,61063,3175256,,
Noni Madueke,,RW,Chelsea,22,61063,3175256,7283435.621745885,-56.40442004430224
Brajan Gruda,,RW,Brighton,20,61063,3175256,,
João Pedro,BRA,"FW,MF",Brighton,22,61063,3175256,,
Joël Veltman,NED,DF,Brighton,32,61063,3175256,,
Matt O'Riley,DEN,MF,Brighton,23,61063,3175256,,
Pervis Estupiñán,ECU,DF,Brighton,26,61063,3175256,,
Solly March,ENG,"FW,MF",Brighton,30,61063,3175256,,
Beto,GNB,FW,Everton,26,61063,3175256,3794084.741831515,-16.310356355740975
Orel Mangala,BEL,MF,Everton,26,61063,3175256,3960777.586890675,-19.83250939135242
Neco Williams,WAL,DF,Nott'ham Forest,23,61063,3175256,1707684.2519337898,85.9392915525411
Ryan Yates,ENG,MF,Nott'ham Forest,26,61063,3175256,2744591.379244545,15.691393043506412
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26,61063,3175256,,
Andreas Pereira,BRA,MF,Fulham,28,61063,3175256,4583001.653527274,-30.71667348066114
Antonee Robinson,USA,DF,Fulham,26,61063,3175256,3177393.552442564,-0.06727377038078168
Harrison Reed,ENG,MF,Fulham,29,61063,3175256,,
Kenny Tete,NED,DF,Fulham,28,61063,3175256,3438135.585143921,-7.645992388427479
Callum Wilson,ENG,FW,Newcastle Utd,32,56178,2921235,,
Emmanuel Agbadou,CIV,DF,Wolves,27,60410,3141339,2580099.6134087043,21.752624731020088
Tom Heaton,ENG,GK,Manchester Utd,38,54956,2857730,,
Adam Lallana,ENG,MF,Southampton,36,54956,2857730,,
Jack Stephens,ENG,DF,Southampton,30,54956,2857730,2810996.200847537,1.6625351232553376
Lesley Ugochukwu,FRA,MF,Southampton,20,54956,2857730,1380207.0983234693,107.05081168407773
Daniel Muñoz,COL,DF,Crystal Palace,28,54956,2857730,,
Rob Holding,ENG,DF,Crystal Palace,28,54956,2857730,,
Philip Billing,DEN,MF,Bournemouth,28,54956,2857730,,
Craig Dawson,ENG,DF,Wolves,34,54956,2857730,,
Mario Lemina,GAB,"MF,DF",Wolves,30,54956,2857730,2799847.5119767417,2.0673443027042717
Fabian Schär,SUI,DF,Newcastle Utd,32,54956,2857730,,
Bryan Mbeumo,CMR,FW,Brentford,24,54956,2857730,3210157.25614396,-10.978504416549843
Malo Gusto,FRA,DF,Chelsea,21,54956,2857730,6698423.941598908,-57.33727776988295
Roméo Lavia,,DM,Chelsea,20,54956,2857730,,
Igor,BRA,DF,Brighton,26,54956,2857730,,
Iliman Ndiaye,SEN,FW,Everton,24,54956,2857730,2456423.469087153,16.337025596892662
Calvin Bassey,NGA,DF,Fulham,24,54956,2857730,2867232.2198383226,-0.3314074030201281
Ryan Sessegnon,ENG,"FW,DF",Fulham,24,54956,2857730,,
Fabio Vieira,POR,AM,Arsenal,24,58908,3063241,,
Patrick Dorgu,,LB,Manchester Utd,20,53698,2792302,,
Axel Disasi,FRA,DF,Aston Villa,26,53698,2792302,,
Vitor Reis,,CB,Manchester City,19,53698,2792302,,
Alex McCarthy,ENG,GK,Southampton,34,48850,2540205,,
Cameron Archer,ENG,FW,Southampton,23,48850,2540205,1904921.1584871407,33.34961337808815
Kamaldeen Sulemana,GHA,"FW,MF",Southampton,22,48850,2540205,1712977.8656001498,48.2917585225205
Ryan Fraser,SCO,"FW,DF",Southampton,30,48850,2540205,,
Yukinari Sugawara,JPN,"DF,MF",Southampton,24,48850,2540205,1214268.0003589606,109.1964046857092
Matheus França,,AM,Crystal Palace,20,48850,2540205,,
Matt Turner,USA,GK,Crystal Palace,30,48850,2540205,,
Tyrick Mitchell,ENG,DF,Crystal Palace,24,48850,2540205,3326867.11449318,-23.645732980020806
Adam Smith,ENG,DF,Bournemouth,33,48850,2540205,3742861.402574955,-32.13200472097553
Alex Scott,ENG,MF,Bournemouth,20,48850,2540205,,
Harvey Elliott,ENG,"MF,FW",Liverpool,21,48850,2540205,,
Jaden Philogene Bidace,ENG,"FW,MF",Aston Villa,22,48850,2540205,,
José Sá,POR,GK,Wolves,31,48850,2540205,,
Sam Johnstone,ENG,GK,Wolves,31,48850,2540205,,
Danny Ward,WAL,GK,Leicester City,31,48850,2540205,,
Jamaal Lascelles,ENG,DF,Newcastle Utd,30,48850,2540205,,
Martin Dúbravka,SVK,GK,Newcastle Utd,35,48850,2540205,,
Axel Tuanzebe,COD,DF,Ipswich Town,26,48850,2540205,1257940.5234207038,101.93363300614948
Sávio,BRA,"FW,MF",Manchester City,20,48850,2540205,,
